version,topology,query_type,index_size,timeout_ms,n,obs_mean_ms,obs_p50_ms,obs_p95_ms,obs_max_ms,server_mean_ms,timeout_pct,overshoot_mean_ms,overshoot_p95_ms
new,cluster3,AGGREGATE,500000,50,50,57.535,56.806,65.198,70.638,0.161,100.0,7.535,15.198
new,cluster3,AGGREGATE,500000,100,50,117.330,107.749,185.348,271.451,0.167,100.0,17.330,85.348
new,cluster3,AGGREGATE,500000,500,50,518.815,505.940,595.165,618.896,0.207,100.0,18.815,95.165
new,cluster3,AGGREGATE,500000,1000,50,3134.063,3247.304,3337.834,3563.012,884.143,6.0,2134.063,2337.834
new,cluster3,AGGREGATE,500000,2000,50,3259.896,3245.576,3332.114,3350.686,936.192,0.0,1259.896,1332.114
new,cluster3,HYBRID,500000,50,50,27.769,24.974,34.101,37.275,27.246,0.0,-22.231,-15.899
new,cluster3,HYBRID,500000,100,50,30.080,31.143,35.665,35.991,29.560,0.0,-69.920,-64.335
new,cluster3,HYBRID,500000,500,50,28.618,25.687,35.142,35.246,28.095,0.0,-471.382,-464.858
new,cluster3,HYBRID,500000,1000,50,28.585,25.623,35.518,35.608,28.057,0.0,-971.415,-964.482
new,cluster3,HYBRID,500000,2000,50,28.313,25.808,33.874,35.585,27.800,0.0,-1971.687,-1966.126
new,cluster3,SEARCH,500000,50,50,63.331,62.634,70.241,80.674,0.124,100.0,13.331,20.241
new,cluster3,SEARCH,500000,100,50,116.447,117.007,127.635,132.015,94.913,8.0,16.447,27.635
new,cluster3,SEARCH,500000,500,50,115.621,114.999,123.291,130.074,101.144,0.0,-384.379,-376.709
new,cluster3,SEARCH,500000,1000,50,117.203,116.485,122.976,127.235,102.436,0.0,-882.797,-877.024
new,cluster3,SEARCH,500000,2000,50,117.072,116.669,123.525,128.806,102.517,0.0,-1882.928,-1876.475
new,cluster5,AGGREGATE,1000000,50,50,55.822,55.361,61.354,62.082,0.132,100.0,5.822,11.354
new,cluster5,AGGREGATE,1000000,100,50,105.068,104.620,109.965,112.445,0.139,100.0,5.068,9.965
new,cluster5,AGGREGATE,1000000,500,50,553.026,506.257,804.390,1141.684,0.164,100.0,53.026,304.390
new,cluster5,AGGREGATE,1000000,1000,50,1036.143,1007.301,1206.534,1209.657,0.166,100.0,36.143,206.534
new,cluster5,AGGREGATE,1000000,2000,50,6361.122,6336.747,6562.895,6809.882,1560.791,0.0,4361.122,4562.895
new,cluster5,HYBRID,1000000,50,50,46.130,46.232,51.532,52.822,43.531,4.0,-3.870,1.532
new,cluster5,HYBRID,1000000,100,50,46.428,46.081,53.847,64.555,45.894,0.0,-53.572,-46.153
new,cluster5,HYBRID,1000000,500,50,46.475,46.776,51.177,53.178,45.943,0.0,-453.525,-448.823
new,cluster5,HYBRID,1000000,1000,50,46.061,46.460,50.107,50.886,45.534,0.0,-953.939,-949.893
new,cluster5,HYBRID,1000000,2000,50,46.198,46.343,50.760,53.501,45.641,0.0,-1953.802,-1949.240
new,cluster5,SEARCH,1000000,50,50,70.468,70.485,82.096,89.440,0.159,100.0,20.468,32.096
new,cluster5,SEARCH,1000000,100,50,106.822,101.886,130.919,197.553,3.071,98.0,6.822,30.919
new,cluster5,SEARCH,1000000,500,50,161.996,161.799,172.511,173.953,137.747,0.0,-338.004,-327.489
new,cluster5,SEARCH,1000000,1000,50,160.259,161.293,168.649,172.443,136.359,0.0,-839.741,-831.351
new,cluster5,SEARCH,1000000,2000,50,160.048,160.738,170.245,174.457,136.272,0.0,-1839.952,-1829.755
new,cluster7,AGGREGATE,1000000,50,50,54.836,54.284,59.195,62.213,0.129,100.0,4.836,9.195
new,cluster7,AGGREGATE,1000000,100,50,105.424,104.466,112.221,113.024,0.187,100.0,5.424,12.221
new,cluster7,AGGREGATE,1000000,500,50,566.546,507.061,856.115,1075.641,0.150,100.0,66.546,356.115
new,cluster7,AGGREGATE,1000000,1000,50,3493.660,1176.475,6434.034,6498.113,699.547,54.0,2493.660,5434.034
new,cluster7,AGGREGATE,1000000,2000,50,6364.909,6348.890,6701.671,6769.945,1545.909,0.0,4364.909,4701.671
new,cluster7,HYBRID,1000000,50,50,42.951,42.388,47.450,48.798,42.403,0.0,-7.049,-2.550
new,cluster7,HYBRID,1000000,100,50,42.798,42.334,46.501,48.995,42.220,0.0,-57.202,-53.499
new,cluster7,HYBRID,1000000,500,50,43.125,43.015,46.080,51.807,42.568,0.0,-456.875,-453.920
new,cluster7,HYBRID,1000000,1000,50,42.503,42.271,46.560,48.828,41.948,0.0,-957.497,-953.440
new,cluster7,HYBRID,1000000,2000,50,43.082,42.406,46.982,50.262,42.528,0.0,-1956.918,-1953.018
new,cluster7,SEARCH,1000000,50,50,72.028,71.473,84.266,100.462,0.156,100.0,22.028,34.266
new,cluster7,SEARCH,1000000,100,50,104.566,102.432,111.031,130.155,0.121,100.0,4.566,11.031
new,cluster7,SEARCH,1000000,500,50,241.684,192.497,504.504,505.918,142.437,14.0,-258.316,4.504
new,cluster7,SEARCH,1000000,1000,50,193.864,191.276,207.657,236.000,160.368,0.0,-806.136,-792.343
new,cluster7,SEARCH,1000000,2000,50,194.300,193.056,205.978,212.323,160.904,0.0,-1805.700,-1794.022
new,sa,AGGREGATE,500000,50,50,721.614,901.775,1075.319,1077.042,16.187,100.0,671.614,1025.319
new,sa,AGGREGATE,500000,100,50,1023.799,1040.624,1061.628,1070.986,0.190,100.0,923.799,961.628
new,sa,AGGREGATE,500000,500,50,1039.787,1043.788,1062.443,1067.341,0.173,100.0,539.787,562.443
new,sa,AGGREGATE,500000,1000,50,2147.962,1056.981,3676.472,3725.233,595.268,58.0,1147.962,2676.472
new,sa,AGGREGATE,500000,2000,50,3663.108,3667.270,3685.580,3695.333,1364.008,0.0,1663.108,1685.580
new,sa,HYBRID,500000,50,50,57.090,56.702,58.907,69.245,53.312,6.0,7.090,8.907
new,sa,HYBRID,500000,100,50,56.361,56.334,57.426,59.216,55.862,0.0,-43.639,-42.574
new,sa,HYBRID,500000,500,50,55.466,55.475,56.434,56.857,54.973,0.0,-444.534,-443.566
new,sa,HYBRID,500000,1000,50,57.253,56.677,58.089,78.571,56.660,0.0,-942.747,-941.911
new,sa,HYBRID,500000,2000,50,56.292,56.209,57.543,58.825,55.689,0.0,-1943.708,-1942.457
new,sa,SEARCH,500000,50,50,51.224,51.126,52.265,52.350,50.163,100.0,1.224,2.265
new,sa,SEARCH,500000,100,50,95.151,95.076,100.489,101.576,93.986,0.0,-4.849,0.489
new,sa,SEARCH,500000,500,50,97.068,96.825,103.709,105.343,95.916,0.0,-402.932,-396.291
new,sa,SEARCH,500000,1000,50,97.160,97.173,98.771,100.608,96.001,0.0,-902.840,-901.229
new,sa,SEARCH,500000,2000,50,96.142,95.471,98.985,100.091,94.874,0.0,-1903.858,-1901.015
old,cluster3,AGGREGATE,500000,50,50,57.079,56.925,58.671,58.939,56.822,100.0,7.079,8.671
old,cluster3,AGGREGATE,500000,100,50,112.349,112.227,113.733,115.735,112.064,100.0,12.349,13.733
old,cluster3,AGGREGATE,500000,500,50,553.583,553.595,556.593,558.588,553.297,100.0,53.583,56.593
old,cluster3,AGGREGATE,500000,1000,50,3172.124,3163.075,3235.662,3242.441,851.692,0.0,2172.124,2235.662
old,cluster3,AGGREGATE,500000,2000,50,3164.974,3150.868,3229.961,3238.518,852.671,0.0,1164.974,1229.961
old,cluster3,HYBRID,500000,50,50,27.028,25.686,31.260,31.626,26.527,0.0,-22.972,-18.740
old,cluster3,HYBRID,500000,100,50,25.543,23.725,31.233,32.421,25.057,0.0,-74.457,-68.767
old,cluster3,HYBRID,500000,500,50,26.731,25.569,31.351,31.440,26.238,0.0,-473.269,-468.649
old,cluster3,HYBRID,500000,1000,50,26.307,23.767,31.672,34.184,25.793,0.0,-973.693,-968.328
old,cluster3,HYBRID,500000,2000,50,25.571,23.755,31.228,31.488,25.079,0.0,-1974.429,-1968.772
old,cluster3,SEARCH,500000,50,50,86.429,77.486,109.764,276.660,86.094,100.0,36.429,59.764
old,cluster3,SEARCH,500000,100,50,103.676,103.388,109.062,110.537,102.690,4.0,3.676,9.062
old,cluster3,SEARCH,500000,500,50,103.304,102.916,110.118,111.362,102.247,0.0,-396.696,-389.882
old,cluster3,SEARCH,500000,1000,50,103.861,102.633,110.775,115.634,102.801,0.0,-896.139,-889.225
old,cluster3,SEARCH,500000,2000,50,103.329,103.288,107.057,114.545,102.280,0.0,-1896.671,-1892.943
old,cluster5,AGGREGATE,1000000,50,50,59.129,59.121,60.428,60.911,58.865,100.0,9.129,10.428
old,cluster5,AGGREGATE,1000000,100,50,116.384,116.310,117.838,119.870,116.098,100.0,16.384,17.838
old,cluster5,AGGREGATE,1000000,500,50,573.883,574.212,578.816,579.139,573.590,100.0,73.883,78.816
old,cluster5,AGGREGATE,1000000,1000,50,5872.157,6167.343,6262.389,6314.818,1373.530,6.0,4872.157,5262.389
old,cluster5,AGGREGATE,1000000,2000,50,6187.506,6174.342,6262.035,6483.750,1400.401,0.0,4187.506,4262.035
old,cluster5,HYBRID,1000000,50,50,41.376,41.882,45.609,50.906,40.877,2.0,-8.624,-4.391
old,cluster5,HYBRID,1000000,100,50,42.270,42.544,46.115,48.309,41.769,0.0,-57.730,-53.885
old,cluster5,HYBRID,1000000,500,50,41.673,42.122,46.278,49.271,41.168,0.0,-458.327,-453.722
old,cluster5,HYBRID,1000000,1000,50,42.182,42.807,45.477,51.546,41.692,0.0,-957.818,-954.523
old,cluster5,HYBRID,1000000,2000,50,42.902,42.361,47.826,51.473,42.390,0.0,-1957.098,-1952.174
old,cluster5,SEARCH,1000000,50,50,85.411,83.262,92.658,103.398,85.101,100.0,35.411,42.658
old,cluster5,SEARCH,1000000,100,50,123.774,122.933,133.352,139.433,123.439,100.0,23.774,33.352
old,cluster5,SEARCH,1000000,500,50,138.850,138.646,147.100,153.836,137.820,0.0,-361.150,-352.900
old,cluster5,SEARCH,1000000,1000,50,140.657,139.278,155.243,175.428,139.634,0.0,-859.343,-844.757
old,cluster5,SEARCH,1000000,2000,50,139.244,139.294,153.136,157.564,138.208,0.0,-1860.756,-1846.864
old,cluster7,AGGREGATE,1000000,50,50,60.234,60.037,62.142,63.502,59.939,100.0,10.234,12.142
old,cluster7,AGGREGATE,1000000,100,50,117.831,118.012,119.021,119.584,117.535,100.0,17.831,19.021
old,cluster7,AGGREGATE,1000000,500,50,579.778,580.514,582.845,585.150,579.487,100.0,79.778,82.845
old,cluster7,AGGREGATE,1000000,1000,50,5849.926,6148.363,6231.113,6251.232,1324.956,6.0,4849.926,5231.113
old,cluster7,AGGREGATE,1000000,2000,50,6171.510,6171.284,6277.223,6520.183,1353.252,0.0,4171.510,4277.223
old,cluster7,HYBRID,1000000,50,50,39.623,39.068,43.952,46.477,39.124,0.0,-10.377,-6.048
old,cluster7,HYBRID,1000000,100,50,39.992,39.742,42.708,46.605,39.479,0.0,-60.008,-57.292
old,cluster7,HYBRID,1000000,500,50,40.532,40.081,45.795,48.210,40.008,0.0,-459.468,-454.205
old,cluster7,HYBRID,1000000,1000,50,40.705,40.114,44.884,45.680,40.193,0.0,-959.295,-955.116
old,cluster7,HYBRID,1000000,2000,50,39.791,39.541,42.299,46.098,39.290,0.0,-1960.209,-1957.701
old,cluster7,SEARCH,1000000,50,50,74.095,73.085,82.141,91.644,73.844,100.0,24.095,32.141
old,cluster7,SEARCH,1000000,100,50,149.895,148.365,158.127,175.318,149.544,100.0,49.895,58.127
old,cluster7,SEARCH,1000000,500,50,176.183,169.530,201.748,312.121,175.131,0.0,-323.817,-298.252
old,cluster7,SEARCH,1000000,1000,50,168.289,167.162,177.449,179.481,167.203,0.0,-831.711,-822.551
old,cluster7,SEARCH,1000000,2000,50,166.828,166.272,172.327,177.325,165.725,0.0,-1833.172,-1827.673
old,sa,AGGREGATE,500000,50,50,1053.448,1050.740,1096.274,1109.277,1053.092,100.0,1003.448,1046.274
old,sa,AGGREGATE,500000,100,50,1057.029,1052.769,1096.409,1102.027,1056.669,100.0,957.029,996.409
old,sa,AGGREGATE,500000,500,50,1050.716,1049.065,1091.285,1101.208,1050.369,100.0,550.716,591.285
old,sa,AGGREGATE,500000,1000,50,3589.139,3585.358,3632.944,3665.568,1267.055,0.0,2589.139,2632.944
old,sa,AGGREGATE,500000,2000,50,3590.913,3588.422,3626.497,3657.928,1272.922,0.0,1590.913,1626.497
old,sa,HYBRID,500000,50,50,50.195,50.282,50.834,51.285,49.802,38.0,0.195,0.834
old,sa,HYBRID,500000,100,50,51.196,51.105,52.237,56.971,50.644,0.0,-48.804,-47.763
old,sa,HYBRID,500000,500,50,50.828,50.835,52.088,53.477,50.291,0.0,-449.172,-447.912
old,sa,HYBRID,500000,1000,50,51.687,51.204,56.084,63.832,51.067,0.0,-948.313,-943.916
old,sa,HYBRID,500000,2000,50,51.100,51.186,51.821,52.419,50.519,0.0,-1948.900,-1948.179
old,sa,SEARCH,500000,50,50,62.753,50.979,81.677,82.098,62.549,100.0,12.753,31.677
old,sa,SEARCH,500000,100,50,88.101,87.860,91.551,91.982,87.176,0.0,-11.899,-8.449
old,sa,SEARCH,500000,500,50,87.860,87.957,89.687,90.951,86.832,0.0,-412.140,-410.313
old,sa,SEARCH,500000,1000,50,87.560,87.578,90.694,91.696,86.581,0.0,-912.440,-909.306
old,sa,SEARCH,500000,2000,50,87.277,86.328,90.409,101.619,86.302,0.0,-1912.723,-1909.591
